1,TRUE,나문희,엉뚱발랄,호! 박! 고! 구! 마! 호박고구마아아!!!,157,185,148,4,3
2,TRUE,이순재,분노가득,이자식 이거 !! 나가 나가~,195,244,1283,3,4
3,TRUE,박해미,위풍당당,오케이 ? 오~케이~~ ,360,190,40,4,7
4,TRUE,이준하,식탐가득,그거? 내가 다 먹었는데 ?,218,152,317,1,2
5,TRUE,이민호,화난말티즈,(코 씰룩씰룩) 형이 보고 있잖아~,93,122,129,3,6
6,TRUE,이윤호,허풍허세,아 진짜 왜 나한테만 그래 !!!,96,105,148,8,5
7,TRUE,이민용,미친개,싫습니다. 제가 그걸 왜합니까?,171,202,287,8,3
8,TRUE,서민정,햇살웃음,제가여 ~ ? ^0^,191,266,53,6,2
9,TRUE,강유미,허당간첩,미국 수도 L.A 아니야 ? 그럼 로스엔젤레스 인가 ?,35,63,20,5,7
10,TRUE,김범,객식구,가족사진찍는데 왜 저 안부르셨어요 ?,64,60,53,5,9
