문항,이미지,질문,답변,감정
1,TRUE,회사에서 사무실을 윗층으로 옮긴다고 한다.,오~ 새로운 사무실 좋은데 ?,행복,아...피곤한데 하라면 해야지...,슬픔,또 시작이네 아오 !!,분노
2,TRUE,친구가 호떡을 사먹는다고 해서 버스를 놓쳤다.,호떡먹으면서 다음차 기다리지뭐~,행복,다음차 오려면 얼마나 기다려야되지 ? 시간아까워..,슬픔,야 호떡을 꼭 지금 먹어야겠냐 ? 맛있냐 ?,분노
3,TRUE,학교에서 수업을 듣는데 밖에 날씨가 좋다,날씨 너무 좋다~놀러 가야지~,행복,날씨 좋은데 어디 같이 갈 사람 한명 없네,슬픔,나가지도 못하는데 날씨는 왜 좋고 난리야,분노
4,TRUE,코로나 감염자와 동선이 곂쳐서 검사를 받으라고 보건소에서 연락이 왔다,아싸~ 내일 검사받고 재택근무다~,행복,코로나 걸렸으면 어쩌지..? 검사 받는거 많이 아프려나..?,슬픔,아 진짜 짜증나네 귀찮게 동선은 왜 곂쳐가지고 재수가 없으려니까,분노
5,TRUE,자취하는 친오빠가 오랜만에 집에 돌아왔다.,와 용돈 뜯어내야지~,행복,저 얼굴을 또 보게 되다니...,슬픔,뭐야 이거? 이 자식이 왜 집에 있어?,분노
6,TRUE,친구에게 밥을 사준다고 하고 옷사는걸 봐달라고 했다. 근데 다 잘어울린다고 대답한다,내가봐도 다 잘어울려서 큰일이다 큰일~ ,행복,성의있게 좀 대답해주지 너무해,슬픔,너 밥 얻어먹을라고 따라왔냐?,분노
7,TRUE,전애인이 넷플리스 아이디를 훔쳐쓰고 있는걸 알았다,딱 걸렸어! 멋진척은 혼자다하더니,행복,나랑 자주 보던 영화 또 봤네,슬픔,진짜 끝까지 구질구질하네,분노
8,TRUE,미용실에서 머리를 했는데 예상했던 머리보다 못나게 나왔다,뭐 그런대로 어울리네~ 역시 소화력 갑,행복,진짜 나 어떡해 흐엉ㅠㅠ,슬픔,아니 사람머리가 이게 뭐야 !! 진짜 짜증나네 ,분노
9,TRUE,간만의 술자리. 맛있는 안주가 나오자마자 친구가 못먹는 음식이라고 말한다.,우와 진짜 맛있겠다. 너는 다른거 시켜 그럼 난 먹는다~,행복,진짜? 이걸 같이 못먹는단 말이야 ? 이거 진짜 맛있는데..,슬픔,시킬때 얘기하던가 ! 왜 지금 말해 !!,분노
10,TRUE,"오늘따라 얼굴\, 옷\, 신발\, 가방 모두 마음에 드는데\, 아무도 안마주쳤다.",오늘 진짜 다 잘어울리네 ~ (가게유리에 비친 내모습을 보고 만족한다),행복,오늘같은날 아무도 못만나네..,슬픔,왜 멀쩡한날에는 아무도 안만나고 이상할때만 그렇게 마주치는거야 !!,분노
